citation_key,authors_year,short_description_what_it_says,critique_or_limitation,evaluation_for_this_thesis,evidence_role,safe_thesis_use,do_not_use_for,accessibility_status,peer_reviewed_yes_no_unknown,metadata_verification_status,unknown_or_inaccessible_flag,evaluation_basis,doi_or_url
bharath2008forecasting,"Bharath, Sreedhar T. and Shumway, Tyler (2008)",Evaluates structural distance-to-default ideas against simpler default forecasting inputs.,Not implemented because the current production panel is SEC/FRED based.,Relevant support within its stated scope; cite with the limitation column.,context_or_future_work,Future-work and limitation source.,Do not write as an implemented production feature or model.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1093/rfs/hhn044
bauer2014hazard,"Bauer, Julian and Agarwal, Vineet (2014)",Tests whether hazard approaches outperform traditional models under comparable settings.,The thesis uses temporal ML classifiers rather than full hazard models.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports methodological caution and model-comparison framing.,Do not use to claim bankruptcy prediction itself is novel.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.jbankfin.2013.12.013
tinoco2013financial,"Tinoco, Mario H. and Wilson, Nick (2013)","Directly supports combining accounting, market, and macroeconomic variables for listed-company distress prediction.","Does not provide the current thesis artifact, target hierarchy, or dashboard.",Useful for market-shift context; do not use to claim macro variables caused individual firm outcomes.,core_or_supporting_literature,Core support for the SEC plus FRED design.,Do not use to claim macro variables dominate without empirical support.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.irfa.2013.02.013
tian2017financial,"Tian, Shaonan and Yu, Yan (2017)","Shows ratio signals can generalize across countries, while still requiring local validation.",International comparability differs from this U.S. SEC panel.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports ratio families and warns against country-blind generalization.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.iref.2017.07.025
alaminos2016global,"Alaminos, David and del Castillo, Angel and Fernandez, Manuel Angel (2016)","Demonstrates interest in broader, cross-country bankruptcy-prediction models.",Global model framing does not remove the need for local SEC data auditing.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports discussion of scope limits and future international extensions.,Do not cite outside the stated data scope or method scope.,full_text_or_public_page_accessible,yes,verified_doi,none_flagged,verified_metadata_and_public_or_official_page_level,https://doi.org/10.1371/journal.pone.0166693
taffler1983assessment,"Taffler, Richard J. (1983)","Reinforces the long-standing link between solvency, performance, and accounting data.",Older statistical model; not enough for modern novelty.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Background support for solvency and performance indicators.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1080/00014788.1983.9729767
platt1994bankruptcy,"Platt, Harlan D. and Platt, Marjorie B. (1994)",Broadens the distress-prediction feature discussion beyond pure financial-ratio sets.,Feature universe differs from the SEC/FRED panel.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports using richer firm-period attributes and context variables.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1111/j.1468-5957.1994.tb00332.x
billios2024power,"Billios, Dimitrios and Seretidou, Dimitra and Stavropoulos, Antonios (2024)",Recent review evidence that numerical financial indicators and cash-flow information remain useful for bankruptcy prediction.,Review scope is narrow and does not provide the thesis data architecture.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Modern support that accounting/numerical indicators remain relevant.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.3390/jrfm17100433
valaskova2023postpandemic,"Valaskova, Katarina and Gajdosikova, Dominika and Belas, Jaroslav (2023)",Shows renewed post-pandemic interest in firm failure prediction and financial-health monitoring.,Country-specific setting and not SEC/FRED scale.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Recent context for why distress/resilience analysis remains current after large market shocks.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.24136/oc.2023.007
bragoli2022industrial,"Bragoli, Daniela and Ferretti, Camilla and Ganugi, Piero and Marseguerra, Giovanni and Mezzogori, Davide and Zammori, Francesco (2022)",Directly motivates industry metadata and sector-aware analysis.,Different geography/data and not the same dashboard artifact.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports inclusion of industry metadata and sector summaries.,Do not cite outside the stated data scope or method scope.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1080/17421772.2021.1977377
charalambous2022maximizing,"Charalambous, Chris and Martzoukos, Spiros H. and Taoushianis, Zenon (2022)",Shows that optimizing discriminatory power can improve out-of-sample bankruptcy and financial-distress forecasts.,Does not provide this thesis dashboard artifact.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports dashboard and metric interpretation beyond accuracy.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1007/s11156-021-00995-0
barboza2017machine,"Barboza, Flavio and Kimura, Herbert and Altman, Edward (2017)",Shows ML methods can improve bankruptcy-prediction performance relative to classical methods in some settings.,"Performance gains depend on data, validation, and target definition.",Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Core support for random forest and gradient boosting benchmarks.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.eswa.2017.04.006
lessmann2015benchmarking,"Lessmann, Stefan and Baesens, Bart and Seow, Hsin-Vonn and Thomas, Lyn C. (2015)",Provides modern classification benchmarking evidence in a related financial-risk domain.,Credit scoring is not identical to SEC-based firm failure/resilience.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports comparing multiple model families rather than relying on one algorithm.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.ejor.2015.05.030
dasilas2024machine,"Dasilas, Apostolos and Rigani, Anna (2024)",Current synthesis of ML bankruptcy-prediction research and common design choices.,A review; it does not supply this thesis dataset or artifact.,"Strong current synthesis; useful for field positioning, but not primary evidence for this panel.",core_or_supporting_literature,Main recent review source to show the field is current.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.eswa.2024.124761
zhao2024survey,"Zhao, Jinxian and Ouenniche, Jamal and De Smedt, Johannes (2024)",Recent critical survey that situates bankruptcy and financial distress prediction as an active statistical and AI research area.,A survey and not a validation of the thesis panel.,"Strong current synthesis; useful for field positioning, but not primary evidence for this panel.",core_or_supporting_literature,Modern literature anchor for the ML/business-failure section.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.mlwa.2024.100527
kim2020corporate,"Kim, Minjun and Cho, Seonghoon and Ryu, Doojin (2020)",Reviews machine-learning approaches to corporate default prediction.,Review-level evidence; not a direct empirical benchmark for this thesis.,"Strong current synthesis; useful for field positioning, but not primary evidence for this panel.",core_or_supporting_literature,Additional recent ML/default review source.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.3390/su12166325
sun2023company,"Sun, Xiaoxiao (2023)",Recent conference evidence that company-failure prediction remains an ML problem.,Conference paper and not a replacement for journal review sources.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Optional recent ML context.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.3233/FAIA230838
breiman2001random,"Breiman, Leo (2001)",Foundational source for random forests.,"Algorithm paper, not finance-specific.","Strong algorithm or implementation citation, but not finance-specific empirical evidence.",method_foundation,Cite for model method.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1023/A:1010933404324
friedman2001greedy,"Friedman, Jerome H. (2001)",Foundational source for gradient boosting.,"Algorithm paper, not finance-specific.","Strong algorithm or implementation citation, but not finance-specific empirical evidence.",method_foundation,Cite for gradient boosting method.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1214/aos/1013203451
pedregosa2011scikit,"Pedregosa, Fabian and Varoquaux, Gael and Gramfort, Alexandre and Michel, Vincent and Thirion, Bertrand and Grisel, Olivier and Blondel, Mathieu and Prettenhofer, Peter and Weiss, Ron and Dubourg, Vincent and VanderPlas, Jake and Passos, Alexandre and Cournapeau, David and Brucher, Matthieu and Perrot, Matthieu and Duchesnay, Edouard (2011)",Citable source for the modeling software ecosystem used in Python.,"Software citation, not a theory source.","Strong algorithm or implementation citation, but not finance-specific empirical evidence.",method_foundation,Cite for implementation reproducibility.,Do not use to claim algorithm choice alone creates thesis novelty.,full_text_or_public_page_accessible,yes,verified_official_page,none_flagged,verified_metadata_and_public_or_official_page_level,https://www.jmlr.org/papers/v12/pedregosa11a.html
fawcett2006roc,"Fawcett, Tom (2006)",Explains ROC analysis and related evaluation concepts.,ROC-AUC can remain optimistic for rare positives.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Use with PR-AUC sources to discuss metric tradeoffs.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.patrec.2005.10.010
davis2006relationship,"Davis, Jesse and Goadrich, Mark (2006)",Shows how precision-recall and ROC views differ.,"General ML evaluation paper, not finance-specific.",Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports PR-curve interpretation.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1145/1143844.1143874
saito2015precision,"Saito, Takaya and Rehmsmeier, Marc (2015)",Directly argues for precision-recall plots under class imbalance.,"General ML evaluation source, not distress-specific.",Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Justifies PR-AUC for strict distress and broader pressure targets.,Do not use to claim algorithm choice alone creates thesis novelty.,full_text_or_public_page_accessible,yes,verified_doi,none_flagged,verified_metadata_and_public_or_official_page_level,https://doi.org/10.1371/journal.pone.0118432
chawla2002smote,"Chawla, Nitesh V. and Bowyer, Kevin W. and Hall, Lawrence O. and Kegelmeyer, W. Philip (2002)",Introduces a major class-imbalance method.,Synthetic oversampling can distort time-ordered financial panels if used carelessly.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Discuss as an imbalance method considered conceptually but not central.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1613/jair.953
burez2009handling,"Burez, Jonathan and Van den Poel, Dirk (2009)",Shows class imbalance is a practical predictive-modeling issue beyond one domain.,Churn is not distress; use only for general imbalance logic.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Secondary support for imbalance handling concerns.,Do not use to claim algorithm choice alone creates thesis novelty.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.eswa.2009.05.027
lundberg2017unified,"Lundberg, Scott M. and Lee, Su-In (2017)",Introduces SHAP as a unified additive explanation approach.,Explanations are not causal proof.,Useful for explaining model transparency; must not be used as causal proof.,core_or_supporting_literature,Supports feature-contribution interpretation language.,Do not use to claim feature importance proves causality.,full_text_or_public_page_accessible,yes,verified_official_page,none_flagged,verified_metadata_and_public_or_official_page_level,https://papers.neurips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions
ribeiro2016trust,"Ribeiro, Marco Tulio and Singh, Sameer and Guestrin, Carlos (2016)",Introduces LIME-style local explanations for black-box predictions.,Local explanations can be unstable and do not establish causality.,Useful for explaining model transparency; must not be used as causal proof.,core_or_supporting_literature,Supports interpretability/trust section.,Do not use to claim feature importance proves causality.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1145/2939672.2939778
guidotti2018survey,"Guidotti, Riccardo and Monreale, Anna and Ruggieri, Salvatore and Turini, Franco and Giannotti, Fosca and Pedreschi, Dino (2018)",Provides a broad taxonomy of black-box explanation methods.,"General XAI survey, not finance-specific.",Useful for explaining model transparency; must not be used as causal proof.,core_or_supporting_literature,Supports XAI method classification and caution.,Do not use to claim feature importance proves causality.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1145/3236009
molnar2025interpretable,"Molnar, Christoph (2025)","Clear practical reference for permutation importance, SHAP, PDP/ALE, and interpretation limits.","Book/reference source, not a peer-reviewed journal article.",Useful for explaining model transparency; must not be used as causal proof.,core_or_supporting_literature,Practical interpretation guide.,Do not use to claim feature importance proves causality.,full_text_or_public_page_accessible,unknown,verified_official_page,peer_review_status_unknown_or_not_applicable,verified_metadata_and_public_or_official_page_level,https://christophm.github.io/interpretable-ml-book/
bussmann2021explainable,"Bussmann, Niklas and Giudici, Paolo and Marinelli, Dimitri and Papenbrock, Jochen (2021)",Connects explainable ML to financial-risk management practice.,Credit-risk context is related but not identical to firm failure/resilience.,Useful for explaining model transparency; must not be used as causal proof.,core_or_supporting_literature,Finance-specific XAI support.,Do not use to claim feature importance proves causality.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1007/s10614-020-10042-0
gramegna2021shap,"Gramegna, Alex and Giudici, Paolo (2021)",Evaluates SHAP and LIME in a financial-risk setting.,"Credit risk, not SEC corporate distress labels.",Useful for explaining model transparency; must not be used as causal proof.,core_or_supporting_literature,Additional finance-specific XAI reference.,Do not use to claim feature importance proves causality.,full_text_or_public_page_accessible,yes,verified_doi,none_flagged,verified_metadata_and_public_or_official_page_level,https://doi.org/10.3389/frai.2021.752558
zhang2022xai,"Zhang, Zijiao and Wu, Chong and Qu, Shiyou and Chen, Xiaofang (2022)",Directly links XAI to financial distress prediction.,Specific method/data differ from this thesis.,Useful for explaining model transparency; must not be used as causal proof.,core_or_supporting_literature,Direct support for interpretable financial-distress modeling.,Do not use to claim feature importance proves causality.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.ipm.2022.102988
little2019missing,"Little, Roderick J. A. and Rubin, Donald B. (2019)",Foundational treatment of missing-data mechanisms and analysis.,"General statistics book, not SEC-specific.",Useful for defending missingness policy; does not resolve SEC-specific tag availability by itself.,data_integrity_methodology,Supports missingness policy and refusal to invent null values.,Do not use to justify filling missing SEC values with invented facts.,metadata_verified_full_text_access_unknown_or_book_access_limited,unknown,verified_doi,full_text_access_unknown_or_access_limited; peer_review_status_unknown_or_not_applicable,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1002/9781119482260
rubin1976inference,"Rubin, Donald B. (1976)",Introduces central missing-data mechanism concepts.,General statistical theory; not an accounting filing guide.,Useful for defending missingness policy; does not resolve SEC-specific tag availability by itself.,data_integrity_methodology,Theoretical foundation for missingness treatment.,Do not use to justify filling missing SEC values with invented facts.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1093/biomet/63.3.581
graham2009missing,"Graham, John W. (2009)",Practical review of missing-data risks and approaches.,Not accounting-specific.,Useful for defending missingness policy; does not resolve SEC-specific tag availability by itself.,data_integrity_methodology,Supports pragmatic missingness diagnostics.,Do not use to justify filling missing SEC values with invented facts.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1146/annurev.psych.58.110405.085530
vanbuuren2018flexible,"van Buuren, Stef (2018)",Practical reference for imputation approaches.,"The thesis mostly avoids aggressive imputation, so cite for context rather than implementation.",Useful for defending missingness policy; does not resolve SEC-specific tag availability by itself.,data_integrity_methodology,Explains why imputation is an option but not automatically appropriate.,Do not use to justify filling missing SEC values with invented facts.,metadata_verified_full_text_access_unknown_or_book_access_limited,unknown,verified_doi,full_text_access_unknown_or_access_limited; peer_review_status_unknown_or_not_applicable,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1201/9780429492259
sec2026financial,U.S. Securities and Exchange Commission (2026),Official source for SEC Financial Statement Data Sets used to build the panel.,"Official documentation, not peer-reviewed theory.","Strong for data provenance or current context, but not peer-reviewed academic evidence.",data_or_context_source,Primary data source citation.,Do not use as peer-reviewed theory or model-performance evidence.,official_or_public_page_accessible,no,verified_official_page,none_flagged,verified_metadata_and_public_or_official_page_level,https://www.sec.gov/data-research/sec-markets-data/financial-statement-data-sets
sec2024edgarapi,U.S. Securities and Exchange Commission (2024),Official EDGAR API reference for SEC-company metadata and filings context.,"Documentation, not model evidence.","Strong for data provenance or current context, but not peer-reviewed academic evidence.",data_or_context_source,Cite for reproducibility and data-access context.,Do not use as peer-reviewed theory or model-performance evidence.,official_or_public_page_accessible,no,verified_official_page,none_flagged,verified_metadata_and_public_or_official_page_level,https://www.sec.gov/search-filings/edgar-application-programming-interfaces
fredapi,Federal Reserve Bank of St. Louis (2026),Official source for FRED macro-data retrieval.,"Documentation, not a theory source.","Strong for data provenance or current context, but not peer-reviewed academic evidence.",data_or_context_source,Primary macro-data source citation.,Do not use as peer-reviewed theory or model-performance evidence.,official_or_public_page_accessible,no,verified_official_page,none_flagged,verified_metadata_and_public_or_official_page_level,https://fred.stlouisfed.org/docs/api/fred/
fredwhat,Federal Reserve Bank of St. Louis (2026),Describes FRED as a source for economic data.,Background documentation only.,"Strong for data provenance or current context, but not peer-reviewed academic evidence.",data_or_context_source,Basic source description in data chapter.,Do not use as peer-reviewed theory or model-performance evidence.,official_or_public_page_accessible,no,verified_official_page,none_flagged,verified_metadata_and_public_or_official_page_level,https://fredhelp.stlouisfed.org/fred/about/about-fred/what-is-fred/
chicagofed2026nfci,Federal Reserve Bank of Chicago (2026),Official documentation for NFCI-style financial-condition context.,"Index context, not firm-level causality.","Strong for data provenance or current context, but not peer-reviewed academic evidence.",data_or_context_source,Supports market-health/financial-conditions interpretation.,Do not use as peer-reviewed theory or model-performance evidence.,official_or_public_page_accessible,no,verified_official_page,none_flagged,verified_metadata_and_public_or_official_page_level,https://www.chicagofed.org/research/data/nfci/current-data
fed2025financialstability,Board of Governors of the Federal Reserve System (2025),Provides official context for macro-financial vulnerabilities and corporate/credit conditions.,"Contextual report, not a firm-level prediction paper.","Strong for data provenance or current context, but not peer-reviewed academic evidence.",data_or_context_source,Recent context source for market shifts and credit conditions.,Do not use as peer-reviewed theory or model-performance evidence.,official_or_public_page_accessible,no,verified_official_page,none_flagged,verified_metadata_and_public_or_official_page_level,https://www.federalreserve.gov/publications/financial-stability-report.htm
spglobal2025bankruptcies,S&P Global Market Intelligence (2025),Recent industry context showing corporate distress remains relevant.,Industry report and not part of the production training data.,"Strong for data provenance or current context, but not peer-reviewed academic evidence.",data_or_context_source,"Context only, not model source.",Do not use as peer-reviewed theory or model-performance evidence.,public_publisher_page_accessible_full_report_may_require_access,no,verified_publisher_or_official_page,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://www.spglobal.com/market-intelligence/en/news-insights/latest-news-headlines/us-bankruptcy-tracker
