citation_key,authors,year,title,publication,source_type,peer_reviewed_yes_no_unknown,language,bucket,main_method_or_theory,data_scope,main_contribution,main_limitation_or_critique,how_this_thesis_uses_it,supports_claim,doi_or_url,verification_status
sun2023company,"Sun, Xiaoxiao",2023,Company Failure Prediction with Machine Learning,ECAI 2023: Frontiers in Artificial Intelligence and Applications,peer_reviewed_conference_paper,yes,English,"Machine learning, rare-event evaluation, and temporal validation",machine-learning failure prediction,company failure prediction,Recent conference evidence that company-failure prediction remains an ML problem.,Conference paper and not a replacement for journal review sources.,Optional recent ML context.,The project sits in a current ML/business-failure research stream.,https://doi.org/10.3233/FAIA230838,verified_doi
breiman2001random,"Breiman, Leo",2001,Random Forests,Machine Learning,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",random forest algorithm,general supervised learning,Foundational source for random forests.,"Algorithm paper, not finance-specific.",Cite for model method.,Random forests are a standard ensemble baseline.,https://doi.org/10.1023/A:1010933404324,verified_doi
friedman2001greedy,"Friedman, Jerome H.",2001,Greedy Function Approximation: A Gradient Boosting Machine,The Annals of Statistics,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",gradient boosting machine,general supervised learning,Foundational source for gradient boosting.,"Algorithm paper, not finance-specific.",Cite for gradient boosting method.,Gradient boosting is a defensible nonlinear benchmark.,https://doi.org/10.1214/aos/1013203451,verified_doi
pedregosa2011scikit,"Pedregosa, Fabian and Varoquaux, Gael and Gramfort, Alexandre and Michel, Vincent and Thirion, Bertrand and Grisel, Olivier and Blondel, Mathieu and Prettenhofer, Peter and Weiss, Ron and Dubourg, Vincent and VanderPlas, Jake and Passos, Alexandre and Cournapeau, David and Brucher, Matthieu and Perrot, Matthieu and Duchesnay, Edouard",2011,Scikit-learn: Machine Learning in Python,Journal of Machine Learning Research,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",software implementation paper,machine-learning library,Citable source for the modeling software ecosystem used in Python.,"Software citation, not a theory source.",Cite for implementation reproducibility.,The model implementation uses established open-source ML tooling.,https://www.jmlr.org/papers/v12/pedregosa11a.html,verified_official_page
fawcett2006roc,"Fawcett, Tom",2006,An Introduction to ROC Analysis,Pattern Recognition Letters,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",ROC evaluation review,binary classification evaluation,Explains ROC analysis and related evaluation concepts.,ROC-AUC can remain optimistic for rare positives.,Use with PR-AUC sources to discuss metric tradeoffs.,ROC-AUC is informative but insufficient for rare-event target interpretation.,https://doi.org/10.1016/j.patrec.2005.10.010,verified_doi
davis2006relationship,"Davis, Jesse and Goadrich, Mark",2006,The Relationship between Precision-Recall and ROC Curves,Proceedings of the 23rd International Conference on Machine Learning,peer_reviewed_conference_paper,yes,English,"Machine learning, rare-event evaluation, and temporal validation",precision-recall and ROC comparison,binary classifier evaluation,Shows how precision-recall and ROC views differ.,"General ML evaluation paper, not finance-specific.",Supports PR-curve interpretation.,Precision-recall metrics are necessary when positive-class performance matters.,https://doi.org/10.1145/1143844.1143874,verified_doi
saito2015precision,"Saito, Takaya and Rehmsmeier, Marc",2015,The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets,PLOS ONE,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",imbalanced-classifier evaluation,binary classification with imbalanced datasets,Directly argues for precision-recall plots under class imbalance.,"General ML evaluation source, not distress-specific.",Justifies PR-AUC for strict distress and broader pressure targets.,PR-AUC is central for rare strict legal distress.,https://doi.org/10.1371/journal.pone.0118432,verified_doi
chawla2002smote,"Chawla, Nitesh V. and Bowyer, Kevin W. and Hall, Lawrence O. and Kegelmeyer, W. Philip",2002,SMOTE: Synthetic Minority Over-Sampling Technique,Journal of Artificial Intelligence Research,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",minority-class oversampling,imbalanced classification,Introduces a major class-imbalance method.,Synthetic oversampling can distort time-ordered financial panels if used carelessly.,Discuss as an imbalance method considered conceptually but not central.,"Rare-event methods exist, but temporal integrity matters more than blindly balancing classes.",https://doi.org/10.1613/jair.953,verified_doi
burez2009handling,"Burez, Jonathan and Van den Poel, Dirk",2009,Handling Class Imbalance in Customer Churn Prediction,Expert Systems with Applications,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",class imbalance methods,customer churn prediction,Shows class imbalance is a practical predictive-modeling issue beyond one domain.,Churn is not distress; use only for general imbalance logic.,Secondary support for imbalance handling concerns.,Imbalanced classes can distort standard classifier performance.,https://doi.org/10.1016/j.eswa.2009.05.027,verified_doi
lundberg2017unified,"Lundberg, Scott M. and Lee, Su-In",2017,A Unified Approach to Interpreting Model Predictions,Advances in Neural Information Processing Systems 30,peer_reviewed_conference_paper,yes,English,Interpretability and explainable ML,SHAP explanation framework,model-agnostic and model-specific explanation,Introduces SHAP as a unified additive explanation approach.,Explanations are not causal proof.,Supports feature-contribution interpretation language.,Feature contribution methods help explain model behavior but should not be written as causality.,https://papers.neurips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions,verified_official_page
ribeiro2016trust,"Ribeiro, Marco Tulio and Singh, Sameer and Guestrin, Carlos",2016,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier",Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,peer_reviewed_conference_paper,yes,English,Interpretability and explainable ML,local interpretable model explanations,classifier explanation,Introduces LIME-style local explanations for black-box predictions.,Local explanations can be unstable and do not establish causality.,Supports interpretability/trust section.,Black-box model outputs require explanatory artifacts for practical use.,https://doi.org/10.1145/2939672.2939778,verified_doi
guidotti2018survey,"Guidotti, Riccardo and Monreale, Anna and Ruggieri, Salvatore and Turini, Franco and Giannotti, Fosca and Pedreschi, Dino",2018,A Survey of Methods for Explaining Black Box Models,ACM Computing Surveys,academic_journal_article,yes,English,Interpretability and explainable ML,XAI survey,black-box model explanation methods,Provides a broad taxonomy of black-box explanation methods.,"General XAI survey, not finance-specific.",Supports XAI method classification and caution.,Interpretability is a research field with multiple methods and limitations.,https://doi.org/10.1145/3236009,verified_doi
molnar2025interpretable,"Molnar, Christoph",2025,Interpretable Machine Learning: A Guide for Making Black Box Models Explainable,Self-published open book,book,unknown,English,Interpretability and explainable ML,practical XAI methods guide,interpretable machine learning,"Clear practical reference for permutation importance, SHAP, PDP/ALE, and interpretation limits.","Book/reference source, not a peer-reviewed journal article.",Practical interpretation guide.,"Permutation importance and feature contribution need careful, non-causal wording.",https://christophm.github.io/interpretable-ml-book/,verified_official_page
bussmann2021explainable,"Bussmann, Niklas and Giudici, Paolo and Marinelli, Dimitri and Papenbrock, Jochen",2021,Explainable Machine Learning in Credit Risk Management,Computational Economics,academic_journal_article,yes,English,Interpretability and explainable ML,explainable ML in credit risk,credit-risk management,Connects explainable ML to financial-risk management practice.,Credit-risk context is related but not identical to firm failure/resilience.,Finance-specific XAI support.,Explainability is especially important in financial-risk analytics.,https://doi.org/10.1007/s10614-020-10042-0,verified_doi
gramegna2021shap,"Gramegna, Alex and Giudici, Paolo",2021,SHAP and LIME: An Evaluation of Discriminative Power in Credit Risk,Frontiers in Artificial Intelligence,academic_journal_article,yes,English,Interpretability and explainable ML,XAI method comparison,credit risk,Evaluates SHAP and LIME in a financial-risk setting.,"Credit risk, not SEC corporate distress labels.",Additional finance-specific XAI reference.,Local/global explanation methods can be compared and audited in financial models.,https://doi.org/10.3389/frai.2021.752558,verified_doi
zhang2022xai,"Zhang, Zijiao and Wu, Chong and Qu, Shiyou and Chen, Xiaofang",2022,An Explainable Artificial Intelligence Approach for Financial Distress Prediction,Information Processing & Management,academic_journal_article,yes,English,Interpretability and explainable ML,explainable AI for financial distress prediction,financial distress prediction,Directly links XAI to financial distress prediction.,Specific method/data differ from this thesis.,Direct support for interpretable financial-distress modeling.,Financial distress ML benefits from explanation layers.,https://doi.org/10.1016/j.ipm.2022.102988,verified_doi
little2019missing,"Little, Roderick J. A. and Rubin, Donald B.",2019,Statistical Analysis with Missing Data,Wiley,book,unknown,English,"Missing data, data integrity, and accounting-data limitations",missing-data theory,statistical analysis with missing data,Foundational treatment of missing-data mechanisms and analysis.,"General statistics book, not SEC-specific.",Supports missingness policy and refusal to invent null values.,Missing values should be handled according to mechanism and analysis purpose.,https://doi.org/10.1002/9781119482260,verified_doi
rubin1976inference,"Rubin, Donald B.",1976,Inference and Missing Data,Biometrika,academic_journal_article,yes,English,"Missing data, data integrity, and accounting-data limitations",missing-data mechanisms,statistical inference with missing data,Introduces central missing-data mechanism concepts.,General statistical theory; not an accounting filing guide.,Theoretical foundation for missingness treatment.,Missingness cannot automatically be treated as zero or unchanged.,https://doi.org/10.1093/biomet/63.3.581,verified_doi
graham2009missing,"Graham, John W.",2009,Missing Data Analysis: Making It Work in the Real World,Annual Review of Psychology,academic_journal_article,yes,English,"Missing data, data integrity, and accounting-data limitations",missing-data practice review,applied missing-data analysis,Practical review of missing-data risks and approaches.,Not accounting-specific.,Supports pragmatic missingness diagnostics.,Missing-data treatment needs explicit documentation and diagnostics.,https://doi.org/10.1146/annurev.psych.58.110405.085530,verified_doi
vanbuuren2018flexible,"van Buuren, Stef",2018,Flexible Imputation of Missing Data,CRC Press,book,unknown,English,"Missing data, data integrity, and accounting-data limitations",imputation methods,missing-data imputation,Practical reference for imputation approaches.,"The thesis mostly avoids aggressive imputation, so cite for context rather than implementation.",Explains why imputation is an option but not automatically appropriate.,Imputation choices must be justified; they should not invent economic facts.,https://doi.org/10.1201/9780429492259,verified_doi
sec2026financial,U.S. Securities and Exchange Commission,2026,Financial Statement Data Sets,SEC.gov,official_data_documentation,no,English,Official data sources and empirical context,official SEC dataset documentation,XBRL financial statement data sets,Official source for SEC Financial Statement Data Sets used to build the panel.,"Official documentation, not peer-reviewed theory.",Primary data source citation.,"Accounting fundamentals are sourced from SEC FSD, not manually invented.",https://www.sec.gov/data-research/sec-markets-data/financial-statement-data-sets,verified_official_page
sec2024edgarapi,U.S. Securities and Exchange Commission,2024,EDGAR Application Programming Interfaces,SEC.gov,official_data_documentation,no,English,Official data sources and empirical context,official API documentation,EDGAR submissions and company facts APIs,Official EDGAR API reference for SEC-company metadata and filings context.,"Documentation, not model evidence.",Cite for reproducibility and data-access context.,SEC data access is reproducible through official SEC endpoints and bulk sets.,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,verified_official_page
fredapi,Federal Reserve Bank of St. Louis,2026,FRED API,FRED Documentation,official_data_documentation,no,English,Official data sources and empirical context,official macro-data API documentation,FRED macroeconomic time series,Official source for FRED macro-data retrieval.,"Documentation, not a theory source.",Primary macro-data source citation.,Macroeconomic data are sourced from FRED and aligned to prediction dates.,https://fred.stlouisfed.org/docs/api/fred/,verified_official_page
fredwhat,Federal Reserve Bank of St. Louis,2026,What Is FRED?,FRED Help,official_data_documentation,no,English,Official data sources and empirical context,official database description,FRED database description,Describes FRED as a source for economic data.,Background documentation only.,Basic source description in data chapter.,FRED is a recognized source for macroeconomic time-series data.,https://fredhelp.stlouisfed.org/fred/about/about-fred/what-is-fred/,verified_official_page
chicagofed2026nfci,Federal Reserve Bank of Chicago,2026,National Financial Conditions Index,Federal Reserve Bank of Chicago,official_data_documentation,no,English,"Macroeconomic conditions, credit cycles, and market-shift/default context",financial-conditions index documentation,U.S. financial conditions,Official documentation for NFCI-style financial-condition context.,"Index context, not firm-level causality.",Supports market-health/financial-conditions interpretation.,Financial conditions can be represented as macro-regime context.,https://www.chicagofed.org/research/data/nfci/current-data,verified_official_page
fed2025financialstability,Board of Governors of the Federal Reserve System,2025,Financial Stability Report,Federal Reserve Board,official_report,no,English,Official data sources and empirical context,financial-stability monitoring report,U.S. financial system vulnerabilities,Provides official context for macro-financial vulnerabilities and corporate/credit conditions.,"Contextual report, not a firm-level prediction paper.",Recent context source for market shifts and credit conditions.,The thesis sits in a current policy context where financial stability and credit conditions are monitored.,https://www.federalreserve.gov/publications/financial-stability-report.htm,verified_official_page
spglobal2025bankruptcies,S&P Global Market Intelligence,2025,U.S. Corporate Bankruptcy Filings,S&P Global Market Intelligence,industry_report,no,English,Official data sources and empirical context,bankruptcy filing tracker/reporting,U.S. corporate bankruptcy filings,Recent industry context showing corporate distress remains relevant.,Industry report and not part of the production training data.,"Context only, not model source.",Corporate bankruptcy/distress is a current applied problem.,https://www.spglobal.com/market-intelligence/en/news-insights/latest-news-headlines/us-bankruptcy-tracker,verified_publisher_or_official_page
gilchrist2012credit,"Gilchrist, Simon and Zakrajsek, Egon",2012,Credit Spreads and Business Cycle Fluctuations,American Economic Review,academic_journal_article,yes,English,"Macroeconomic conditions, credit cycles, and market-shift/default context",credit-spread/business-cycle analysis,macroeconomic and credit conditions,Shows credit spreads contain business-cycle information.,"Macro-finance source, not firm SEC accounting by itself.",Supports credit-spread and financial-conditions variables.,Credit conditions are meaningful market-shift context for firm outcomes.,https://doi.org/10.1257/aer.102.4.1692,verified_doi
longstaff2005corporate,"Longstaff, Francis A. and Mithal, Sanjay and Neis, Eric",2005,Corporate Yield Spreads: Default Risk or Liquidity? New Evidence from the Credit Default Swap Market,The Journal of Finance,academic_journal_article,yes,English,"Macroeconomic conditions, credit cycles, and market-shift/default context",credit spread decomposition,corporate yield spreads and CDS data,Shows corporate spreads reflect both default and liquidity components.,"Market spread decomposition, not accounting-panel construction.",Supports caution in interpreting macro/credit variables.,Credit-market indicators are useful context but not pure distress causes.,https://doi.org/10.1111/j.1540-6261.2005.00797.x,verified_doi
