priority,citation_key,title,year,access_bucket,oa_status,best_oa_landing_url,best_oa_pdf_url,downloaded_pdf_path,text_extract_path,recommended_action
1,zhao2024survey,"Survey, Classification and Critical Analysis of the Literature on Corporate Bankruptcy and Financial Distress Prediction",2024,open_access_landing_page_no_pdf,gold,https://doi.org/10.1016/j.mlwa.2024.100527,,,,Open-access landing page exists; use article page now and manually download PDF if needed.
2,altman1968financial,"Financial Ratios, Discriminant Analysis and the Prediction of Corporate Bankruptcy",1968,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
2,bussmann2021explainable,Explainable Machine Learning in Credit Risk Management,2021,open_access_pdf_downloaded,hybrid,https://doi.org/10.1007/s10614-020-10042-0,https://link.springer.com/content/pdf/10.1007/s10614-020-10042-0.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/bussmann2021explainable.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/bussmann2021explainable.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
2,campbell2008distress,In Search of Distress Risk,2008,open_access_landing_page_no_pdf,green,https://doi.org/10.2139/ssrn.2785210,,,,Open-access landing page exists; use article page now and manually download PDF if needed.
2,charalambous2022maximizing,Estimating Corporate Bankruptcy Forecasting Models by Maximizing Discriminatory Power,2022,open_access_pdf_downloaded,hybrid,https://doi.org/10.1007/s11156-021-00995-0,https://link.springer.com/content/pdf/10.1007/s11156-021-00995-0.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/charalambous2022maximizing.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/charalambous2022maximizing.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
2,gornostaev2022realtime_russia,A Real-Time Historical Database of Macroeconomic Indicators for Russia,2022,open_access_pdf_downloaded,gold,https://doi.org/10.31477/rjmf.202201.88,https://rjmf.econs.online/upload/iblock/3c7/A-Real-Time-Historical-Database-of-Macroeconomic-Indicators-for-Russia.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/gornostaev2022realtime_russia.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/gornostaev2022realtime_russia.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
2,gramegna2021shap,SHAP and LIME: An Evaluation of Discriminative Power in Credit Risk,2021,open_access_pdf_downloaded,gold,https://doi.org/10.3389/frai.2021.752558,https://www.frontiersin.org/articles/10.3389/frai.2021.752558/pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/gramegna2021shap.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/gramegna2021shap.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
2,ohlson1980financial,Financial Ratios and the Probabilistic Prediction of Bankruptcy,1980,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
2,shumway2001forecasting,Forecasting Bankruptcy More Accurately: A Simple Hazard Model,2001,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,alaminos2016global,A Global Model for Bankruptcy Prediction,2016,open_access_pdf_downloaded,gold,https://doi.org/10.1371/journal.pone.0166693,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0166693&type=printable,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/alaminos2016global.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/alaminos2016global.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
3,altman1997international,An International Survey of Business Failure Classification Models,1997,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,arnott2014decision,A Critical Analysis of Decision Support Systems Research Revisited: The Rise of Design Science,2014,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,barney1991firm,Firm Resources and Sustained Competitive Advantage,1991,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,bauer2014hazard,Are Hazard Models Superior to Traditional Bankruptcy Prediction Approaches? A Comprehensive Test,2014,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,beaver1966financial,Financial Ratios as Predictors of Failure,1966,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,bernanke1999financial,The Financial Accelerator in a Quantitative Business Cycle Framework,1999,open_access_landing_page_no_pdf,hybrid,https://doi.org/10.1016/s1574-0048(99)10034-x,,,,Open-access landing page exists; use article page now and manually download PDF if needed.
3,bharath2008forecasting,Forecasting Default with the Merton Distance to Default Model,2008,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,bragoli2022industrial,Machine-Learning Models for Bankruptcy Prediction: Do Industrial Variables Matter?,2022,open_access_landing_page_no_pdf,green,https://hdl.handle.net/11380/1294710,,,,Open-access landing page exists; use article page now and manually download PDF if needed.
3,breiman2001random,Random Forests,2001,open_access_landing_page_no_pdf,green,https://www.ine.es/up/zEkXkJIZ,,,,Open-access landing page exists; use article page now and manually download PDF if needed.
3,burez2009handling,Handling Class Imbalance in Customer Churn Prediction,2009,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,cbr2026financial_stability,Financial Stability,2026,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,chawla2002smote,SMOTE: Synthetic Minority Over-Sampling Technique,2002,open_access_pdf_downloaded,gold,https://doi.org/10.1613/jair.953,https://www.jair.org/index.php/jair/article/download/10302/24590,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/chawla2002smote.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/chawla2002smote.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
3,chen2012business,Business Intelligence and Analytics: From Big Data to Big Impact,2012,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,chicagofed2026nfci,National Financial Conditions Index,2026,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,davis2006relationship,The Relationship between Precision-Recall and ROC Curves,2006,open_access_landing_page_no_pdf,green,https://lirias.kuleuven.be/handle/123456789/295592,,,,Open-access landing page exists; use article page now and manually download PDF if needed.
3,davydov2022us_russian_markets,US and Russian Financial Markets: Comparative Analysis,2022,open_access_pdf_download_failed,bronze,https://doi.org/10.1134/s1019331622210080,https://link.springer.com/content/pdf/10.1134/S1019331622210080.pdf,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
3,duffie2007multi,Multi-Period Corporate Default Prediction with Stochastic Covariates,2007,open_access_landing_page_no_pdf,green,https://repository.dl.itc.u-tokyo.ac.jp/records/42543,,,,Open-access landing page exists; use article page now and manually download PDF if needed.
3,fawcett2006roc,An Introduction to ROC Analysis,2006,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,fed2025financialstability,Financial Stability Report,2025,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,fredapi,FRED API,2026,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,fredwhat,What Is FRED?,2026,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,friedman2001greedy,Greedy Function Approximation: A Gradient Boosting Machine,2001,open_access_pdf_download_failed,bronze,https://doi.org/10.1214/aos/1013203451,https://projecteuclid.org/journals/annals-of-statistics/volume-29/issue-5/Greedy-function-approximation-A-gradient-boosting-machine/10.1214/aos/1013203451.pdf,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
3,gilchrist2012credit,Credit Spreads and Business Cycle Fluctuations,2012,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,graham2009missing,Missing Data Analysis: Making It Work in the Real World,2009,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,guidotti2018survey,A Survey of Methods for Explaining Black Box Models,2018,open_access_pdf_download_failed,bronze,https://doi.org/10.1145/3236009,https://dl.acm.org/doi/pdf/10.1145/3236009,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
3,hannan1984structural,Structural Inertia and Organizational Change,1984,open_access_landing_page_no_pdf,green,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1505910,,,,Open-access landing page exists; use article page now and manually download PDF if needed.
3,hepfer2022organizational,"The Heterogeneity of Organizational Resilience: Exploring Functional, Operational and Strategic Resilience",2022,open_access_pdf_download_failed,gold,https://doi.org/10.1177/26317877221074701,https://journals.sagepub.com/doi/pdf/10.1177/26317877221074701,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
3,hevner2004design,Design Science in Information Systems Research,2004,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,hillegeist2004assessing,Assessing the Probability of Bankruptcy,2004,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,kim2020corporate,Corporate Default Predictions Using Machine Learning: Literature Review,2020,open_access_pdf_download_failed,gold,https://doi.org/10.3390/su12166325,https://www.mdpi.com/2071-1050/12/16/6325/pdf?version=1596702775,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
3,lessmann2015benchmarking,Benchmarking State-of-the-Art Classification Algorithms for Credit Scoring: An Update of Research,2015,open_access_landing_page_no_pdf,green,https://lirias.kuleuven.be/handle/123456789/497988,,,,Open-access landing page exists; use article page now and manually download PDF if needed.
3,linnenluecke2017resilience,Resilience in Business and Management Research: A Review of Influential Publications and a Research Agenda,2017,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,little2019missing,Statistical Analysis with Missing Data,2019,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,longstaff2005corporate,Corporate Yield Spreads: Default Risk or Liquidity? New Evidence from the Credit Default Swap Market,2005,open_access_pdf_download_failed,bronze,https://doi.org/10.1111/j.1540-6261.2005.00797.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1540-6261.2005.00797.x,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
3,lundberg2017unified,A Unified Approach to Interpreting Model Predictions,2017,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,merton1974pricing,On the Pricing of Corporate Debt: The Risk Structure of Interest Rates,1974,open_access_pdf_download_failed,bronze,https://doi.org/10.1111/j.1540-6261.1974.tb03058.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1540-6261.1974.tb03058.x,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
3,molnar2025interpretable,Interpretable Machine Learning: A Guide for Making Black Box Models Explainable,2025,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,nevredinov2021instrumental_ml,The Instrumental Machine Learning Methods for Corporate Bankruptcy Prediction,2021,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,pedregosa2011scikit,Scikit-learn: Machine Learning in Python,2011,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,peffers2007design,A Design Science Research Methodology for Information Systems Research,2007,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,platt1994bankruptcy,Bankruptcy Prediction with Real Variables,1994,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,ribeiro2016trust,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier",2016,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,rubin1976inference,Inference and Missing Data,1976,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,sec2024edgarapi,EDGAR Application Programming Interfaces,2024,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,sec2026financial,Financial Statement Data Sets,2026,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,shneiderman1996eyes,The Eyes Have It: A Task by Data Type Taxonomy for Information Visualizations,1996,open_access_pdf_downloaded,green,http://hdl.handle.net/1903/5784,https://drum.lib.umd.edu/bitstreams/5f7e640d-1669-496a-90a5-85737df97e88/download,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/shneiderman1996eyes.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/shneiderman1996eyes.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
3,spglobal2025bankruptcies,U.S. Corporate Bankruptcy Filings,2025,non_doi_or_official_url_manual_check,,,,,,Manual official/web source check required; not DOI-based.
3,sun2023company,Company Failure Prediction with Machine Learning,2023,open_access_pdf_download_failed,hybrid,http://dx.doi.org/10.3233/faia230838,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230838,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
3,taffler1983assessment,The Assessment of Company Solvency and Performance Using a Statistical Model,1983,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,teece1997dynamic,Dynamic Capabilities and Strategic Management,1997,unpaywall_lookup_failed,,,,,,Manual check required.
3,tian2017financial,Financial Ratios and Bankruptcy Predictions: An International Evidence,2017,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,valaskova2023postpandemic,Bankruptcy Prediction in the Post-Pandemic Period: A Case Study of Visegrad Group Countries,2023,open_access_pdf_download_failed,gold,https://doi.org/10.24136/oc.2023.007,http://economic-research.pl/Journals/index.php/oc/article/download/2264/2048,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
3,vanbuuren2018flexible,Flexible Imputation of Missing Data,2018,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
3,zmijewski1984methodological,Methodological Issues Related to the Estimation of Financial Distress Prediction Models,1984,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
