ticker,company_name,event_date,event_type,event_label,verification_status,source_name,source_type,source_url,court_or_regulator,evidence_note,why_included,limitations,verified_on
GTATQ,GT Advanced Technologies,2014-10-06,bankruptcy,formal_distress,source_verified_2026_05_07,GT Advanced Technologies SEC exhibit press release,sec_filing,https://www.sec.gov/Archives/edgar/data/1394954/000144530514004279/gtat10102014pressreleaseex.htm,U.S. Bankruptcy Court for the District of New Hampshire,"The SEC-filed press release states GT and subsidiaries commenced Chapter 11 cases on October 6, 2014.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
HTZ,Hertz Global Holdings,2020-05-22,bankruptcy,formal_distress,source_verified_2026_05_07,Hertz newsroom press release,company_press_release,https://newsroom.hertz.com/press-releases/press-release-details/hertz-global-holdings-takes-action-to-strengthen-capital-structure-following-impact-of-glo/,U.S. Bankruptcy Court for the District of Delaware,"Hertz announced that it and certain U.S. and Canadian subsidiaries filed Chapter 11 petitions on May 22, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,The release page is dated May 23 but states the May 22 filing date.,2026-05-07
JCP,J. C. Penney,2020-05-15,bankruptcy,formal_distress,source_verified_2026_05_07,JCPenney newsroom press release,company_press_release,https://corporate.jcpenney.com/2020/05/15/jcpenney-to-reduce-debt-and-strengthen-financial-position-through-restructuring-support-agreement/,U.S. Bankruptcy Court for the Southern District of Texas,"JCPenney announced voluntary Chapter 11 petitions filed on May 15, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
JOAN,JOANN,2024-03-18,bankruptcy,formal_distress,source_verified_2026_05_07,JOANN / GlobeNewswire release via Nasdaq,company_press_release_mirror,https://www.nasdaq.com/press-release/joann-enters-into-agreement-to-reduce-debt-and-receive-%24132-million-in-new-capital,U.S. Bankruptcy Court,"JOANN announced a financial restructuring transaction and Chapter 11 process on March 18, 2024.",Chapter 11 filing is a formal legal distress event.,Source is a Nasdaq-hosted copy of the GlobeNewswire/company release.,2026-05-07
LINEQ,LINN Energy,2016-05-11,bankruptcy,formal_distress,source_verified_2026_05_07,LINN Energy SEC registration statement,sec_filing,https://www.sec.gov/Archives/edgar/data/1326428/000119312517294444/d386160ds1a.htm,U.S. Bankruptcy Court for the Southern District of Texas,"The SEC filing states LINN and affiliates filed voluntary Chapter 11 petitions on May 11, 2016.",Voluntary Chapter 11 filing is a formal legal distress event.,"SEC filing is a later registration statement, not the initial release.",2026-05-07
NPCMQ,Noble Corporation,2020-07-31,bankruptcy,formal_distress,source_verified_2026_05_07,Noble Corporation investor relations release,company_press_release,https://www.noblecorp.com/investors/news/news-details/2020/Noble-Corporation-plc-Announces-Comprehensive-Financial-Restructuring-And-Deleveraging-Transaction/default.aspx,U.S. Bankruptcy Court for the Southern District of Texas,"Noble announced a voluntary Chapter 11 restructuring process on July 31, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,The row ticker is the panel's distressed/OTC display identifier.,2026-05-07
PGNPQ,PG&E Corporation,2019-01-29,bankruptcy,formal_distress,source_verified_2026_05_07,PG&E investor relations press release,company_press_release,https://investor.pgecorp.com/news-events/press-releases/press-release-details/2019/PGE-Files-for-Reorganization-Under-Chapter-11/default.aspx?print=1,U.S. Bankruptcy Court for the Northern District of California,"PG&E announced voluntary Chapter 11 petitions filed on January 29, 2019.",Voluntary Chapter 11 filing is a formal legal distress event.,Ticker is the distressed/OTC display identifier used in the panel.,2026-05-07
PIRRQ,Pier 1 Imports,2020-02-17,bankruptcy,formal_distress,source_verified_2026_05_07,Pier 1 / Business Wire release via Nasdaq,company_press_release_mirror,https://www.nasdaq.com/press-release/pier-1-enters-plan-support-agreement-with-certain-lenders-and-announces-sale-process,U.S. Bankruptcy Court for the Eastern District of Virginia,"Pier 1 announced voluntary Chapter 11 proceedings on February 17, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,Source is a Nasdaq-hosted copy of the company/Business Wire release.,2026-05-07
PRTY,Party City Holdco,2023-01-17,bankruptcy,formal_distress,source_verified_2026_05_07,Party City SEC Form 8-K,sec_filing,https://www.sec.gov/Archives/edgar/data/1592058/000119312523009847/d643228d8k.htm,U.S. Bankruptcy Court for the Southern District of Texas,"Party City disclosed voluntary Chapter 11 petitions filed on January 17, 2023.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
PTRA,Proterra,2023-08-07,bankruptcy,formal_distress,source_verified_2026_05_07,Proterra SEC exhibit press release,sec_filing,https://www.sec.gov/Archives/edgar/data/1820630/000162828023027865/a8x7x23ex991pressreleaseda.htm,U.S. Bankruptcy Court for the District of Delaware,"Proterra's SEC-filed release states the company voluntarily filed for Chapter 11 on August 7, 2023.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
REV,Revlon,2022-06-15,bankruptcy,formal_distress,source_verified_2026_05_07,Revlon / Business Wire earnings release,company_press_release,https://www.businesswire.com/news/home/20221107006168/en/Revlon-Reports-Third-Quarter-2022-Results,U.S. Bankruptcy Court for the Southern District of New York,"Revlon stated that it and certain subsidiaries filed voluntary Chapter 11 petitions on June 15, 2022.",Voluntary Chapter 11 filing is a formal legal distress event.,Source is a later company earnings release discussing the pending Chapter 11 cases.,2026-05-07
RIDE,Lordstown Motors,2023-06-27,bankruptcy,formal_distress,source_verified_2026_05_07,Lordstown Motors investor relations press release,company_press_release,https://investor.lordstownmotors.com/news-releases/news-release-details/lordstown-motors-announces-strategic-restructuring-process/,U.S. Bankruptcy Court for the District of Delaware,"Lordstown announced Chapter 11 filing on June 27, 2023.",Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
SDC,SmileDirectClub,2023-09-29,bankruptcy,formal_distress,source_verified_2026_05_07,Law360 bankruptcy case summary,professional_bankruptcy_report,https://www.law360.com/bankruptcy-authority/articles/1727966/smiledirectclub-gets-30m-ch-11-loan-package,U.S. Bankruptcy Court for the Southern District of Texas,"The bankruptcy report identifies SmileDirectClub's Chapter 11 case and September 29, 2023 filing date.",Chapter 11 filing is a formal legal distress event.,Detailed article access may be limited; public search result provides the case date and venue.,2026-05-07
SHLDQ,Sears Holdings,2018-10-15,bankruptcy,formal_distress,source_verified_2026_05_07,Sears Holdings / Transformco press release,company_press_release,https://www.searsholdings.com/press-releases/pr/2116,U.S. Bankruptcy Court for the Southern District of New York,"Sears Holdings announced voluntary Chapter 11 proceedings on October 15, 2018.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
SI,Silvergate Capital / Silvergate Bank,2023-03-08,liquidation_distress,formal_distress,source_verified_2026_05_07,Federal Reserve enforcement press release,regulator_release,https://www.federalreserve.gov/newsevents/pressreleases/enforcement20230601a.htm,Federal Reserve Board and California DFPI,"The Federal Reserve described Silvergate's voluntary self-liquidation announced on March 8, 2023.","Regulator-confirmed bank self-liquidation is treated as formal distress, but not as Chapter 11.",This is not a bankruptcy filing; it is a regulated bank wind-down/liquidation event.,2026-05-07
SIVB,Silicon Valley Bank,2023-03-10,bank_failure,formal_distress,source_verified_2026_05_07,FDIC failed bank information page,regulator_release,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silicon-valley.html,California DFPI / FDIC,"FDIC states Silicon Valley Bank was closed on March 10, 2023 and FDIC was named receiver.",Regulator-confirmed bank failure is a formal legal distress event.,"This is a bank receivership/failure, not a Chapter 11 bankruptcy.",2026-05-07
SUNEQ,SunEdison,2016-04-21,bankruptcy,formal_distress,source_verified_2026_05_07,SunEdison / PRNewswire press release,company_press_release,https://www.prnewswire.com/news-releases/sunedison-undertakes-chapter-11-reorganization-300255363.html,U.S. Bankruptcy Court for the Southern District of New York,"SunEdison announced voluntary Chapter 11 petitions on April 21, 2016.",Voluntary Chapter 11 filing is a formal legal distress event.,TerraForm yieldcos were not part of the filing.,2026-05-07
TOYRF,Toys R Us,2017-09-18,bankruptcy,formal_distress,source_verified_2026_05_07,Toys R Us / PRNewswire press release,company_press_release,https://www.prnewswire.com/news-releases/toysrus-inc-commences-court-supervised-processes-to-implement-financial-restructuring-300521734.html,U.S. Bankruptcy Court for the Eastern District of Virginia,"Toys R Us announced Chapter 11 petitions in the U.S. on September 18, 2017.",Voluntary Chapter 11 filing is a formal legal distress event.,Canadian proceedings were parallel CCAA proceedings; non-U.S./Canada operations were excluded.,2026-05-07
TUES,Tuesday Morning,2020-05-27,bankruptcy,formal_distress,source_verified_2026_05_07,Tuesday Morning / GlobeNewswire press release,company_press_release,https://www.globenewswire.com/news-release/2020/05/27/2039197/0/en/Tuesday-Morning-Corporation-Files-Chapter-11-to-Pursue-Financial-and-Operational-Reorganization.html,U.S. Bankruptcy Court,"Tuesday Morning announced Chapter 11 filing on May 27, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
TUP,Tupperware Brands,2024-09-17,bankruptcy,formal_distress,source_verified_2026_05_07,Tupperware / PRNewswire press release,company_press_release,https://www.prnewswire.com/news-releases/tupperware-voluntarily-initiates-chapter-11-proceedings-302251267.html,U.S. Bankruptcy Court for the District of Delaware,"Tupperware announced voluntary Chapter 11 proceedings on September 17, 2024.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
UCIHQ,Ultra Petroleum,2016-04-29,bankruptcy,formal_distress,source_verified_2026_05_07,Ultra Petroleum SEC registration statement,sec_filing,https://www.sec.gov/Archives/edgar/data/1022646/000119312517139781/d372819ds1.htm,U.S. Bankruptcy Court for the Southern District of Texas,"Ultra disclosed voluntary Chapter 11 petitions filed on April 29, 2016.",Voluntary Chapter 11 filing is a formal legal distress event.,"SEC filing is a later registration statement, not the initial release.",2026-05-07
WE,WeWork,2023-11-06,bankruptcy,formal_distress,source_verified_2026_05_07,WeWork SEC Form 10-Q disclosure,sec_filing,https://www.sec.gov/Archives/edgar/data/0001813756/000181375623000067/wework2023q310q.htm,U.S. Bankruptcy Court for the District of New Jersey,"WeWork disclosed voluntary Chapter 11 petitions filed on November 6, 2023.",Voluntary Chapter 11 filing is a formal legal distress event.,Chapter 11 cases were limited to U.S. and Canada locations.,2026-05-07
WLL,Whiting Petroleum,2020-04-01,bankruptcy,formal_distress,source_verified_2026_05_07,Whiting Petroleum / Business Wire release via Nasdaq,company_press_release_mirror,https://www.nasdaq.com/press-release/whiting-petroleum-corporation-reaches-agreement-in-principle-with-certain-of-its,U.S. Bankruptcy Court for the Southern District of Texas,"Whiting announced voluntary Chapter 11 cases on April 1, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,Source is a Nasdaq-hosted copy of the company/Business Wire release.,2026-05-07
WLTGQ,Walter Energy,2015-07-15,bankruptcy,formal_distress,source_verified_2026_05_07,Walter Energy / PRNewswire restructuring release,company_press_release,https://www.prnewswire.com/news-releases/walter-energy-enters-into-asset-purchase-agreement-with-company-formed-by-its-senior-lender-group-300173575.html,U.S. Bankruptcy Court for the Northern District of Alabama,"Walter Energy later confirmed that it and U.S. subsidiaries filed Chapter 11 on July 15, 2015.",Voluntary Chapter 11 filing is a formal legal distress event.,Source is a later company restructuring release confirming the filing date.,2026-05-07
YELL,Yellow Corporation,2023-08-06,bankruptcy,formal_distress,source_verified_2026_05_07,Yellow Corporation investor relations press release,company_press_release,https://investors.myyellow.com/news-releases/news-release-details/yellow-corporation-files-voluntary-chapter-11-petitions/,U.S. Bankruptcy Court for the District of Delaware,"Yellow announced voluntary Chapter 11 petitions on August 6, 2023 for an operational wind-down.",Voluntary Chapter 11 filing and wind-down is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
CIK0000084129,Rite Aid,2023-10-15,bankruptcy,formal_distress,source_verified_2026_05_07,Rite Aid / Business Wire release via Nasdaq,company_press_release_mirror,https://www.nasdaq.com/press-release/rite-aid-takes-steps-to-accelerate-transformation-and-position-company-for-long-term,U.S. Bankruptcy Court,"Rite Aid announced initiation of a voluntary Chapter 11 process on October 15, 2023.",Voluntary Chapter 11 filing is a formal legal distress event.,Config uses CIK identifier because this row came from CIK-based expansion matching.,2026-05-07
CIK0000867773,SunPower,2024-08-05,bankruptcy,formal_distress,source_verified_2026_05_07,SunPower / PRNewswire release via Nasdaq,company_press_release_mirror,https://www.nasdaq.com/press-release/sunpower-announces-stalking-horse-asset-purchase-agreement-complete-solaria-sell-blue,U.S. Bankruptcy Court for the District of Delaware,"SunPower announced voluntary Chapter 11 petitions on August 5, 2024.",Voluntary Chapter 11 filing is a formal legal distress event.,Config uses CIK identifier because this row came from CIK-based expansion matching.,2026-05-07
CIK0001008848,Acorda Therapeutics,2024-04-01,bankruptcy,formal_distress,source_verified_2026_05_07,Acorda Therapeutics / Business Wire release via Nasdaq,company_press_release_mirror,https://www.nasdaq.com/press-release/acorda-therapeutics-and-merz-announce-signing-of-stalking-horse-asset-purchase,U.S. Bankruptcy Court for the Southern District of New York,"Acorda announced voluntary Chapter 11 petitions on April 1, 2024.",Voluntary Chapter 11 filing is a formal legal distress event.,Config uses CIK identifier because this row came from CIK-based expansion matching.,2026-05-07
CIK0000077281,PREIT,2023-12-10,bankruptcy,formal_distress,source_verified_2026_05_07,PREIT restructuring page,company_restructuring_page,https://www.preit.com/restructuring/,U.S. Bankruptcy Court,"PREIT states that on December 10, 2023 it announced a prepackaged Chapter 11 reorganization.",Voluntary Chapter 11 filing is a formal legal distress event.,Config uses CIK identifier because this row came from CIK-based expansion matching.,2026-05-07
CIK0001223389,Conn's,2024-07-23,bankruptcy,formal_distress,source_verified_2026_05_07,Sidley Austin Chapter 11 case announcement,professional_legal_report,https://www.sidley.com/en/newslanding/newsannouncements/2025/08/sidley-secures-confirmation-of-conn-chapter-11-plan,U.S. Bankruptcy Court for the Southern District of Texas,"Sidley reports that Conn's filed for Chapter 11 bankruptcy protection on July 23, 2024.",Chapter 11 filing is a formal legal distress event.,Config uses CIK identifier; source is a professional legal report rather than the company press release.,2026-05-07
CIK0000814549,Ebix,2023-12-17,bankruptcy,formal_distress,source_verified_2026_05_07,Sidley Austin Chapter 11 case announcement,professional_legal_report,https://www.sidley.com/en/newslanding/newsannouncements/2024/08/sidley-secures-confirmation-of-ebix-chapter-11-plan,U.S. Bankruptcy Court for the Northern District of Texas,"Sidley reports that Ebix filed for Chapter 11 bankruptcy on December 17, 2023.",Chapter 11 filing is a formal legal distress event.,Config uses CIK identifier; source is a professional legal report rather than the initial company release.,2026-05-07
CIK0000890447,Vertex Energy,2024-09-24,bankruptcy,formal_distress,source_verified_2026_05_07,U.S. EPA bankruptcy settlement summary,regulator_summary,https://www.epa.gov/enforcement/vertex-energy-inc-bankruptcy-and-environmental-settlement-summary,U.S. Bankruptcy Court for the Southern District of Texas,"EPA states Vertex and affiliates filed voluntary Chapter 11 petitions on September 24, 2024.",Voluntary Chapter 11 filing is a formal legal distress event.,Config uses CIK identifier; source is a regulator settlement summary rather than the company release.,2026-05-07
UNTC,Unit Corporation,2020-05-22,bankruptcy,formal_distress,source_verified_2026_05_07,Unit Corporation SEC exhibit press release,sec_filing,https://www.sec.gov/Archives/edgar/data/798949/000079894920000037/exhibit991pressrelease.htm,U.S. Bankruptcy Court for the Southern District of Texas,"Unit's SEC-filed release states it filed voluntary Chapter 11 cases on May 22, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
