column,dtype,feature_family,plain_english_meaning,source,can_use_in_current_models,metadata_or_audit_only,missing_share,missingness_caveat
cash_equivalents,float64,sec_accounting_fundamental,"Cash and cash equivalents, including restricted cash when mapped by the SEC concept map.",SEC,yes,no,0.0429310453599142,Schema missing share: 4.3%. Low to moderate missingness; nulls are preserved.
cash_flow_financing,float64,sec_accounting_fundamental,Net cash provided by or used in financing activities.,SEC,no,no,0.165888587470822,Schema missing share: 16.6%. Low to moderate missingness; nulls are preserved.
cash_flow_investing,float64,sec_accounting_fundamental,Net cash provided by or used in investing activities.,SEC,no,no,0.1662040249826509,Schema missing share: 16.6%. Low to moderate missingness; nulls are preserved.
cash_flow_operating,float64,sec_accounting_fundamental,Net cash provided by or used in operating activities.,SEC,yes,no,0.1659201312220049,Schema missing share: 16.6%. Low to moderate missingness; nulls are preserved.
cost_of_revenue,float64,sec_accounting_fundamental,"Cost of revenue, cost of goods sold, or cost of sales according to mapped SEC tags.",SEC,no,no,0.4839442306479086,Schema missing share: 48.4%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
current_assets,float64,sec_accounting_fundamental,Current assets.,SEC,yes,no,0.1791054192164532,Schema missing share: 17.9%. Low to moderate missingness; nulls are preserved.
current_liabilities,float64,sec_accounting_fundamental,Current liabilities.,SEC,yes,no,0.180020188000757,Schema missing share: 18.0%. Low to moderate missingness; nulls are preserved.
depreciation_amortization,float64,sec_accounting_fundamental,"Depreciation, depletion, and amortization expense.",SEC,no,no,0.3589994322124787,Schema missing share: 35.9%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
eps_basic,float64,sec_accounting_fundamental,Basic earnings per share.,SEC,no,no,0.0956406535865245,Schema missing share: 9.6%. Low to moderate missingness; nulls are preserved.
eps_diluted,float64,sec_accounting_fundamental,Diluted earnings per share.,SEC,no,no,0.0960191786007192,Schema missing share: 9.6%. Low to moderate missingness; nulls are preserved.
gross_profit,float64,sec_accounting_fundamental,Gross profit where separately reported.,SEC,yes,no,0.6981893886821021,"Schema missing share: 69.8%. High missingness; may reflect non-reporting, non-applicability, unmapped tags, dimensional exclusions, or unresolved flow derivation."
inventory,float64,sec_accounting_fundamental,"Inventory, net.",SEC,no,no,0.467667655037537,Schema missing share: 46.8%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
long_term_debt,float64,sec_accounting_fundamental,Long-term debt where separately reported.,SEC,yes,no,0.271213172670494,Schema missing share: 27.1%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
net_income,float64,sec_accounting_fundamental,Net income or loss.,SEC,yes,no,0.0053939814522743,Schema missing share: 0.5%. Low to moderate missingness; nulls are preserved.
noncurrent_liabilities,float64,sec_accounting_fundamental,Noncurrent liabilities where separately reported.,SEC,no,no,0.8723108952116586,"Schema missing share: 87.2%. High missingness; may reflect non-reporting, non-applicability, unmapped tags, dimensional exclusions, or unresolved flow derivation."
operating_income,float64,sec_accounting_fundamental,Operating income or loss.,SEC,yes,no,0.2580278846760456,Schema missing share: 25.8%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
ppe_net,float64,sec_accounting_fundamental,"Property, plant, and equipment, net.",SEC,no,no,0.1665194624944798,Schema missing share: 16.7%. Low to moderate missingness; nulls are preserved.
pretax_income,float64,sec_accounting_fundamental,"Income or loss before income taxes, extraordinary items, and noncontrolling interest where mapped.",SEC,no,no,0.5052678064475428,"Schema missing share: 50.5%. High missingness; may reflect non-reporting, non-applicability, unmapped tags, dimensional exclusions, or unresolved flow derivation."
r_and_d_expense,float64,sec_accounting_fundamental,Research and development expense.,SEC,no,no,0.7295754211090782,"Schema missing share: 73.0%. High missingness; may reflect non-reporting, non-applicability, unmapped tags, dimensional exclusions, or unresolved flow derivation."
retained_earnings,float64,sec_accounting_fundamental,Retained earnings or accumulated deficit.,SEC,no,no,0.0563371396126427,Schema missing share: 5.6%. Low to moderate missingness; nulls are preserved.
sg_and_a,float64,sec_accounting_fundamental,"Selling, general, and administrative expense.",SEC,no,no,0.5090846003406725,"Schema missing share: 50.9%. High missingness; may reflect non-reporting, non-applicability, unmapped tags, dimensional exclusions, or unresolved flow derivation."
shares_outstanding,float64,sec_accounting_fundamental,Common shares outstanding.,SEC,no,no,0.4640085799003217,Schema missing share: 46.4%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
short_term_debt,float64,sec_accounting_fundamental,Short-term borrowings or current debt.,SEC,yes,no,0.3899753958740773,Schema missing share: 39.0%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
total_assets,float64,sec_accounting_fundamental,Total assets.,SEC,yes,no,0.0024288688410825,Schema missing share: 0.2%. Low to moderate missingness; nulls are preserved.
total_equity,float64,sec_accounting_fundamental,"Stockholders' equity, including noncontrolling interest where mapped.",SEC,yes,no,0.015866506844994,Schema missing share: 1.6%. Low to moderate missingness; nulls are preserved.
total_liabilities,float64,sec_accounting_fundamental,Total liabilities.,SEC,yes,no,0.3272664185224907,Schema missing share: 32.7%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
total_revenue,float64,sec_accounting_fundamental,"Revenue, sales, or revenue from contracts with customers according to mapped SEC tags.",SEC,yes,no,0.1065547914958046,Schema missing share: 10.7%. Low to moderate missingness; nulls are preserved.
wavg_shares_basic,float64,sec_accounting_fundamental,Weighted average basic shares outstanding.,SEC,no,no,0.249574159359031,Schema missing share: 25.0%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
wavg_shares_diluted,float64,sec_accounting_fundamental,Weighted average diluted shares outstanding.,SEC,no,no,0.2744937227935146,Schema missing share: 27.4%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
ticker,object,identifier_or_time,Ticker or display identifier used for readability.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
firm_id,object,identifier_or_time,Internal firm identifier used to join firm-level observations.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
shortname,object,identifier_or_time,Short readable firm name.,SEC metadata,no,yes,0.1884739133177717,Schema missing share: 18.8%. Identifier/time metadata missingness should be reviewed before using the field operationally.
sec_name,object,identifier_or_time,Company name from SEC metadata.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
exchange,object,industry_or_universe_metadata,Listing exchange or exchange metadata where available.,metadata,no,yes,0.0484196580657371,Schema missing share: 4.8%. Metadata missingness affects description/filtering and should not be invented.
Sector,object,industry_or_universe_metadata,Broad sector label used for industry comparisons and current model categorical encoding.,metadata,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
Industry,object,industry_or_universe_metadata,More detailed industry label used for dashboard and descriptive analysis.,metadata,no,yes,0.2368935713835089,Schema missing share: 23.7%. Metadata missingness affects description/filtering and should not be invented.
cohort,object,industry_or_universe_metadata,Universe-selection bucket explaining why the firm is included.,metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
include_status,object,industry_or_universe_metadata,Universe inclusion status metadata.,metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
notes,object,industry_or_universe_metadata,Free-form universe note; contents are not standardized for modeling.,metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
ticker_aliases,object,identifier_or_time,not documented / requires review,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
event_lookup_tickers,object,identifier_or_time,not documented / requires review,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
duplicate_cik_alias_count,int64,industry_or_universe_metadata,not documented / requires review,metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
period_date,datetime64[ns],identifier_or_time,Accounting period end date described by the filing.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
filed_date,datetime64[ns],identifier_or_time,Date when the SEC filing became available.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
prediction_date,datetime64[ns],identifier_or_time,Information date for modeling; equals filed_date in the production panel.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
prediction_date_source,object,identifier_or_time,Audit field showing which date source produced prediction_date.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
calendar_year,int64,identifier_or_time,Calendar year of the accounting period.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
calendar_quarter,int64,identifier_or_time,Calendar quarter of the accounting period.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
prediction_year,int64,identifier_or_time,"Calendar year of prediction_date, used for temporal validation splits.",SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
prediction_quarter,int64,identifier_or_time,Calendar quarter of prediction_date; current model feature for filing-season context.,SEC metadata,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
sic_sector,object,industry_or_universe_metadata,Sector grouping derived from SIC metadata.,metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
leverage_assets,float64,financial_ratio,Calculated leverage ratio showing how much of assets are financed by liabilities. Formula: total liabilities divided by total assets.,calculated ratio,yes,no,0.3272979622736736,Schema missing share: 32.7%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
equity_assets,float64,financial_ratio,Calculated capitalization ratio showing book equity relative to assets. Formula: total equity divided by total assets.,calculated ratio,yes,no,0.016718188126932,Schema missing share: 1.7%. Low to moderate missingness; nulls are preserved.
current_ratio,float64,financial_ratio,Calculated liquidity ratio for short-term balance-sheet coverage. Formula: current assets divided by current liabilities.,calculated ratio,yes,no,0.1800832755031228,Schema missing share: 18.0%. Low to moderate missingness; nulls are preserved.
cash_assets,float64,financial_ratio,Calculated liquidity buffer relative to firm size. Formula: cash and equivalents divided by total assets.,calculated ratio,yes,no,0.043845814144218,Schema missing share: 4.4%. Low to moderate missingness; nulls are preserved.
net_margin,float64,financial_ratio,Calculated profitability margin after all expenses. Formula: net income divided by total revenue.,calculated ratio,yes,no,0.1111601791685067,Schema missing share: 11.1%. Low to moderate missingness; nulls are preserved.
operating_margin,float64,financial_ratio,Calculated operating profitability margin. Formula: operating income divided by total revenue.,calculated ratio,yes,no,0.3017475238155321,Schema missing share: 30.2%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
gross_margin,float64,financial_ratio,Calculated gross profitability margin where gross profit is available. Formula: gross profit divided by total revenue.,calculated ratio,yes,no,0.7024793388429752,"Schema missing share: 70.2%. High missingness; may reflect non-reporting, non-applicability, unmapped tags, dimensional exclusions, or unresolved flow derivation."
roa,float64,financial_ratio,"Calculated return on assets; it is an engineered ratio, not a raw SEC line item. Formula: net income divided by total assets.",calculated ratio,yes,no,0.0068449940066872,Schema missing share: 0.7%. Low to moderate missingness; nulls are preserved.
r_and_d_intensity,float64,financial_ratio,Calculated innovation/intangible-investment intensity where R&D is reported. Formula: R&D expense divided by total revenue.,calculated ratio,yes,no,0.7376190776607154,"Schema missing share: 73.8%. High missingness; may reflect non-reporting, non-applicability, unmapped tags, dimensional exclusions, or unresolved flow derivation."
inventory_assets,float64,financial_ratio,Calculated inventory exposure relative to assets. Formula: inventory divided by total assets.,calculated ratio,yes,no,0.4680461800517317,Schema missing share: 46.8%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
receivables_assets,float64,financial_ratio,Calculated receivables exposure relative to assets. Formula: accounts receivable divided by total assets.,calculated ratio,yes,no,0.2488486530818245,Schema missing share: 24.9%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
roa_lag1,float64,firm_trend_or_deterioration,"One-observation lag of roa, using prior firm observation only.",trend feature,yes,no,0.0238155321430824,Schema missing share: 2.4%. Low to moderate missingness; nulls are preserved.
leverage_assets_lag1,float64,firm_trend_or_deterioration,"One-observation lag of leverage_assets, using prior firm observation only.",trend feature,yes,no,0.3395684814838181,Schema missing share: 34.0%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
current_ratio_lag1,float64,firm_trend_or_deterioration,"One-observation lag of current_ratio, using prior firm observation only.",trend feature,yes,no,0.1942148760330578,Schema missing share: 19.4%. Low to moderate missingness; nulls are preserved.
cash_assets_lag1,float64,firm_trend_or_deterioration,"One-observation lag of cash_assets, using prior firm observation only.",trend feature,yes,no,0.0606901772758816,Schema missing share: 6.1%. Low to moderate missingness; nulls are preserved.
net_margin_lag1,float64,firm_trend_or_deterioration,"One-observation lag of net_margin, using prior firm observation only.",trend feature,yes,no,0.1267427922528547,Schema missing share: 12.7%. Low to moderate missingness; nulls are preserved.
operating_margin_lag1,float64,firm_trend_or_deterioration,"One-observation lag of operating_margin, using prior firm observation only.",trend feature,yes,no,0.3142703930351397,Schema missing share: 31.4%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
gross_margin_lag1,float64,firm_trend_or_deterioration,"One-observation lag of gross_margin, using prior firm observation only.",trend feature,yes,no,0.7076840577881521,"Schema missing share: 70.8%. High missingness; may reflect non-reporting, non-applicability, unmapped tags, dimensional exclusions, or unresolved flow derivation."
total_revenue_growth_4obs,float64,firm_trend_or_deterioration,Four-observation growth feature for total_revenue: current value versus value four prior observations earlier.,trend feature,yes,no,0.1760141316005299,Schema missing share: 17.6%. Low to moderate missingness; nulls are preserved.
total_assets_growth_4obs,float64,firm_trend_or_deterioration,Four-observation growth feature for total_assets: current value versus value four prior observations earlier.,trend feature,yes,no,0.0718882089458078,Schema missing share: 7.2%. Low to moderate missingness; nulls are preserved.
cash_equivalents_growth_4obs,float64,firm_trend_or_deterioration,Four-observation growth feature for cash_equivalents: current value versus value four prior observations earlier.,trend feature,yes,no,0.1164595293672323,Schema missing share: 11.6%. Low to moderate missingness; nulls are preserved.
total_liabilities_growth_4obs,float64,firm_trend_or_deterioration,Four-observation growth feature for total_liabilities: current value versus value four prior observations earlier.,trend feature,yes,no,0.3789350829600656,Schema missing share: 37.9%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
current_assets_growth_4obs,float64,firm_trend_or_deterioration,Four-observation growth feature for current_assets: current value versus value four prior observations earlier.,trend feature,yes,no,0.2375559901583496,Schema missing share: 23.8%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
current_liabilities_growth_4obs,float64,firm_trend_or_deterioration,Four-observation growth feature for current_liabilities: current value versus value four prior observations earlier.,trend feature,yes,no,0.2385653901962021,Schema missing share: 23.9%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
roa_change_4obs,float64,firm_trend_or_deterioration,Four-observation change feature for roa: current value minus value four prior observations earlier.,trend feature,yes,no,0.0776291716610939,Schema missing share: 7.8%. Low to moderate missingness; nulls are preserved.
leverage_assets_change_4obs,float64,firm_trend_or_deterioration,Four-observation change feature for leverage_assets: current value minus value four prior observations earlier.,trend feature,yes,no,0.3785881016970538,Schema missing share: 37.9%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
current_ratio_change_4obs,float64,firm_trend_or_deterioration,Four-observation change feature for current_ratio: current value minus value four prior observations earlier.,trend feature,yes,no,0.2380922339284587,Schema missing share: 23.8%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
cash_assets_change_4obs,float64,firm_trend_or_deterioration,Four-observation change feature for cash_assets: current value minus value four prior observations earlier.,trend feature,yes,no,0.1156393918364771,Schema missing share: 11.6%. Low to moderate missingness; nulls are preserved.
net_margin_change_4obs,float64,firm_trend_or_deterioration,Four-observation change feature for net_margin: current value minus value four prior observations earlier.,trend feature,yes,no,0.1804302567661346,Schema missing share: 18.0%. Low to moderate missingness; nulls are preserved.
operating_margin_change_4obs,float64,firm_trend_or_deterioration,Four-observation change feature for operating_margin: current value minus value four prior observations earlier.,trend feature,yes,no,0.3584947321935524,Schema missing share: 35.8%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
gross_margin_change_4obs,float64,firm_trend_or_deterioration,Four-observation change feature for gross_margin: current value minus value four prior observations earlier.,trend feature,yes,no,0.7258532584694972,"Schema missing share: 72.6%. High missingness; may reflect non-reporting, non-applicability, unmapped tags, dimensional exclusions, or unresolved flow derivation."
net_income_negative_count_prior_4obs,float64,firm_trend_or_deterioration,Count of prior four firm observations with negative net income.,trend feature,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
BAMLH0A0HYM2,float64,macro_variable,High-yield corporate bond spread.,FRED,yes,no,0.0013563813008642,Schema missing share: 0.1%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
FEDFUNDS,float64,macro_variable,Federal funds rate.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
GDPC1,float64,macro_variable,Real GDP.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
GS10,float64,macro_variable,10-year Treasury yield.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
INDPRO,float64,macro_variable,Industrial production index.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
INDPRO_yoy_pct,float64,macro_variable,Industrial production year-over-year percent change.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
M2SL,float64,macro_variable,M2 money supply.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
M2SL_yoy_pct,float64,macro_variable,M2 money supply year-over-year percent change.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
NFCI,float64,macro_variable,Chicago Fed National Financial Conditions Index.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
UNRATE,float64,macro_variable,Unemployment rate.,FRED,yes,no,0.0072550627720648,Schema missing share: 0.7%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
USEPUINDXD,float64,macro_variable,U.S. economic policy uncertainty index.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
VIXCLS,float64,macro_variable,VIX volatility index.,FRED,yes,no,0.0014510125544129,Schema missing share: 0.1%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
T10Y2Y,float64,macro_variable,10-year minus 2-year Treasury spread.,FRED,yes,no,0.0011671187937669,Schema missing share: 0.1%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
T10Y3M,float64,macro_variable,10-year minus 3-month Treasury spread.,FRED,yes,no,0.0011671187937669,Schema missing share: 0.1%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
DCOILWTICO,float64,macro_variable,WTI crude oil price.,FRED,yes,no,0.0007255062772064,Schema missing share: 0.1%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
DCOILWTICO_yoy_pct,float64,macro_variable,WTI crude oil year-over-year percent change.,FRED,yes,no,0.0165920131222004,Schema missing share: 1.7%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
DTWEXBGS,float64,macro_variable,Broad nominal U.S. dollar index.,FRED,yes,no,0.0053939814522743,Schema missing share: 0.5%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
DTWEXBGS_yoy_pct,float64,macro_variable,Broad dollar index year-over-year percent change.,FRED,yes,no,0.0352028263201059,Schema missing share: 3.5%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
CPIAUCSL,float64,macro_variable,Consumer price index.,FRED,yes,no,0.0072550627720648,Schema missing share: 0.7%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
CPIAUCSL_yoy_pct,float64,macro_variable,CPI year-over-year percent change.,FRED,yes,no,0.0072550627720648,Schema missing share: 0.7%. Macro values are aligned to prediction_date; any missing values remain null before model-pipeline imputation.
PPIACO,float64,macro_variable,Producer price index for all commodities.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
PPIACO_yoy_pct,float64,macro_variable,PPI year-over-year percent change.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
PAYEMS,int64,macro_variable,Total nonfarm payroll employment.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
PAYEMS_yoy_pct,float64,macro_variable,Payroll employment year-over-year percent change.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
RSAFS,int64,macro_variable,Retail sales.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
RSAFS_yoy_pct,float64,macro_variable,Retail sales year-over-year percent change.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
HOUST,int64,macro_variable,Housing starts.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
HOUST_yoy_pct,float64,macro_variable,Housing starts year-over-year percent change.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
BUSLOANS,float64,macro_variable,Commercial and industrial loans.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
BUSLOANS_yoy_pct,float64,macro_variable,Commercial and industrial loans year-over-year percent change.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
DRTSCILM,float64,macro_variable,Bank lending standards for C&I loans to large and middle-market firms.,FRED,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
high_rate_regime,int64,macro_regime_indicator,Federal funds rate is at least 4 percent.,regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
market_stress_regime,int64,macro_regime_indicator,VIX is at least 25.,regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
tight_financial_conditions,int64,macro_regime_indicator,"NFCI is above 0, meaning tighter-than-average financial conditions.",regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
credit_spread_stress_regime,int64,macro_regime_indicator,High-yield spread is at least 5 percentage points.,regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
yield_curve_inversion_regime,int64,macro_regime_indicator,T10Y2Y or T10Y3M is below 0.,regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
inflation_pressure_regime,int64,macro_regime_indicator,CPI year-over-year inflation is at least 4 percent.,regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
oil_shock_regime,int64,macro_regime_indicator,WTI oil year-over-year change is at least 30 percent.,regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
strong_dollar_regime,int64,macro_regime_indicator,Broad U.S. dollar index year-over-year change is at least 5 percent.,regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
demand_slowdown_regime,int64,macro_regime_indicator,Retail sales year-over-year change is below 0.,regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
credit_tightening_regime,int64,macro_regime_indicator,Bank lending-standards tightening measure is positive.,regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
crisis_regime,int64,macro_regime_indicator,"Prediction year is 2009, 2020, 2022, or 2023.",regime,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_count,int64,global_event_context,Count of curated global event windows active on the prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_severity_sum,float64,global_event_context,Sum of severity scores for curated global event windows active on the prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_banking_stress_count,int64,global_event_context,Count of active curated banking stress event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_banking_stress_severity,float64,global_event_context,Severity sum for active curated banking stress event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_commodity_oil_count,int64,global_event_context,Count of active curated commodity oil event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_commodity_oil_severity,float64,global_event_context,Severity sum for active curated commodity oil event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_financial_crisis_count,int64,global_event_context,Count of active curated financial crisis event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_financial_crisis_severity,float64,global_event_context,Severity sum for active curated financial crisis event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_financial_market_count,int64,global_event_context,Count of active curated financial market event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_financial_market_severity,float64,global_event_context,Severity sum for active curated financial market event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_geopolitical_war_count,int64,global_event_context,Count of active curated geopolitical war event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
global_event_geopolitical_war_severity,float64,global_event_context,Severity sum for active curated geopolitical war event windows at prediction_date.,global event,yes,no,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
